Dimension:4x14170
RThighAng,LThighAng,RShankAng,LShankAng,
 -2.727220479441, -1.926938781375, -4.077263546217,-32.683411062705,
 -2.727220479441, -1.926938781375, -4.077263546217,-32.683411062705,
 -2.719656800782, -1.916842728589, -4.071971814167,-32.678180326539,
 -2.717954463549, -1.914295796116, -4.071194475920,-32.676604756162,
 -2.715954040739, -1.912256825516, -4.069594097616,-32.674891201247,
 -2.714495581739, -1.908935682998, -4.068143055453,-32.673567649552,
 -2.712335827628, -1.905599284530, -4.066527598751,-32.671549094910,
 -2.710193992737, -1.902161510932, -4.064971451844,-32.669433438848,
 -2.707582071639, -1.898413073157, -4.063171991002,-32.667348799305,
 -2.704829014956, -1.894998511037, -4.061018437284,-32.664073751262,
 -2.702258077195, -1.891323591140, -4.058864228952,-32.660558165977,
 -2.702258077195, -1.891323591140, -4.058864228952,-32.660558165977,
 -2.696591785807, -1.885622977417, -4.053776455103,-32.653375620196,
 -2.694585044503, -1.883252515997, -4.051346837070,-32.649680105502,
 -2.692136109432, -1.880793483225, -4.049150849400,-32.645945337213,
 -2.687425856552, -1.876213605290, -4.043555386776,-32.639121927805,
 -2.685839146214, -1.874360768961, -4.041149649883,-32.636873949917,
 -2.685839146214, -1.874360768961, -4.041149649883,-32.636873949917,
 -2.684047118232, -1.870039384383, -4.036338511637,-32.632496759705,
 -2.683160725674, -1.867258416755, -4.033301654107,-32.630278349220,
 -2.681552638959, -1.863618159433, -4.030141948855,-32.628738747198,
 -2.680025795931, -1.859885266318, -4.026947308075,-32.627356626896,
 -2.679261885204, -1.855772723881, -4.023654839094,-32.625353144836,
 -2.678307566163, -1.851910272892, -4.020934957753,-32.623013228011,
 -2.678307566163, -1.851910272892, -4.020934957753,-32.623013228011,
 -2.674257177422, -1.838559775435, -4.005893118238,-32.609696402709,
 -2.674257177422, -1.838559775435, -4.005893118238,-32.609696402709,
 -2.673196850872, -1.835162619208, -4.003131399932,-32.605451345272,
 -2.672198821904, -1.831978590695, -4.000393489032,-32.600773060196,
 -2.671093785890, -1.828638388750, -3.997106945071,-32.596413390897,
 -2.670419195479, -1.825691671561, -3.993900703803,-32.592099731838,
 -2.669602037225, -1.822245759987, -3.990794985725,-32.587869314565,
 -2.668959604517, -1.819038613347, -3.988269955437,-32.584233070234,
 -2.667957754340, -1.815984407737, -3.985715170067,-32.581076496638,
 -2.667207031361, -1.813212070809, -3.983042920079,-32.578113210884,
 -2.666296061046, -1.810364217017, -3.980278517931,-32.575096473252,
 -2.665456153583, -1.807250332859, -3.977464191110,-32.572815661795,
 -2.664673864924, -1.804712119799, -3.974206896529,-32.570519762762,
 -2.664270892730, -1.802741093929, -3.971129736649,-32.568186907942,
 -2.663910023983, -1.800649367969, -3.967786975467,-32.565634881611,
 -2.663676361548, -1.799150956123, -3.964845386963,-32.562452616638,
 -2.664156763051, -1.797893622858, -3.962050419885,-32.558371841155,
 -2.664373667370, -1.797172834140, -3.958798543534,-32.554568313797,
 -2.664892473004, -1.797038635150, -3.955993046156,-32.550839102616,
 -2.664960084850, -1.797292979391, -3.953547622303,-32.546457340092,
 -2.664535609164, -1.797437683700, -3.950909501997,-32.542133131939,
 -2.664258515423, -1.797621889662, -3.948534208570,-32.538472493345,
 -2.664185362949, -1.797568844285, -3.946414892331,-32.534839222502,
 -2.664399358459, -1.797528238338, -3.944206016905,-32.531204351410,
 -2.664815133120, -1.797792665402, -3.942183218142,-32.528225562129,
 -2.664718952017, -1.798064978126, -3.940290322492,-32.525595860915,
 -2.664087513698, -1.798181668082, -3.938095310157,-32.523327372847,
 -2.662421762228, -1.797333376446, -3.935025230804,-32.519584630794,
